objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,BorneoBlue.jpg,,,Blue-eared Kingfisher Bird ,Mika Smith,2019-07-05,A wild blue-eared kingfisher bird seen on a night hike through the Bornean Rainforest.,Asia; Borneo; Kinabatangan River; Malaysia; Animal; Wild Animal; Bird; Blue-eared Kingfisher,"Kinabatangan, Sabah, Malaysia",5.524589,118.295001,,,Image,image/jpeg,eng,,http://rightsstatements.org/vocab/InC-NC/1.0/
coll002,Dingo.jpg,,,Dingo,Mika Smith,2019-04-26,A wild dingo spotted in Karijini National Park. ,Australia; Karijini; Animal; Wild Animal,"Karijini, Western Australia, Australia ",-22.94,118.2134,,,Image,image/jpeg,eng,,http://rightsstatements.org/vocab/InC-NC/1.0/
coll003,Dolphin.jpg,,,Dolphins,Mika Smith,2019-04-23,A pair of wild dolphins at Monkey Mia Beach. ,Australia; Monkey Mia; Animal; Wild Animal,"Monkey Mia, Western Australia, Australia ",-25.7926,113.72,,,Image,image/jpeg,eng,,http://rightsstatements.org/vocab/InC-NC/1.0/
coll004,Echidnas.jpg,,,Echidna,Mika Smith,2019-06-26,A sleeping Echidna found on the side of the road in Karijini National Park. ,Australia; Karijini; Echidna; Animal; Wild Animal,"Karijini, Western Australia, Australia ",-22.94,118.2134,,,Image,image/jpeg,eng,,http://rightsstatements.org/vocab/InC-NC/1.0/
coll005,Kangaroos.jpg,,,Kangaroos,Mika Smith,2019-06-21,A mother and baby Kangaroo hanging out in a parking lot. ,Australia; Yanchep; Animal; Wild Animal; Kangaroo,"Yanchep, Western Australia, Australia ",-31.5487,115.6853,,,Image,image/jpeg,eng,,http://rightsstatements.org/vocab/InC-NC/1.0/
coll006,orangutan.jpg,,,Orangutan,Mika Smith,2019-07-05,An orangutan seen at the Sepilok Orangutan Rehabilitation Center. ,Asia; Borneo; Malaysia; Sepilok; Animal; Captive Animal; Orangutan; Monkey,"Sepilok, Sabah, Malaysia ",5.8644,117.9488,,,Image,image/jpeg,eng,,http://rightsstatements.org/vocab/InC-NC/1.0/
coll007,ProboscisMonkey.jpg,,,Proboscis Monkey,Mika Smith,2019-07-05,A wild proboscis monkey eating some fruit spotted from the Kinabatangan River. ,Asia; Borneo; Malaysia; Kinabatangan River; Animal; Wild Animal; Proboscis Monkey; Monkey,"Kinabatangan, Sabah, Malaysia",5.524589,118.295001,,,Image,image/jpeg,eng,,http://rightsstatements.org/vocab/InC-NC/1.0/
coll008,Pygmy.jpg,,,Bornean Pygmy Elephant ,Mika Smith,2019-07-05,A glimpse of a wild pygmy elaphant. ,Asia; Borneo; Malaysia; Kinabatangan River; Animal; Wild Animal; Elephant; Pygmy Elephant,"Kinabatangan, Sabah, Malaysia",5.524589,118.295001,,,Image,image/jpeg,eng,,http://rightsstatements.org/vocab/InC-NC/1.0/
coll009,SunbearOnLog.jpg,,,Sun Bear,Mika Smith,2019-07-04,A sun bear spotted at the Bornean Sun Bear Conservation Center. ,Asia; Borneo; Malaysia; Sepilok; Animal; Captive Animal; Sun Bear,"Sepilok, Sabah, Malaysia ",5.8647,117.9499,,,Image,image/jpeg,eng,,http://rightsstatements.org/vocab/InC-NC/1.0/
coll010,WhaleShark.JPG,,,Whale Shark,Mika Smith,2019-05-27,A whale shark swimming in the Ningaloo Reef. ,Australia; Exmouth; Animal; Wild Animal; Whale Shark,"Exmouth, Wesern Australia, Australia ",--21.782328,114.160172,,,Image,image/jpeg,eng,,http://rightsstatements.org/vocab/InC-NC/1.0/
coll011,JapanSky.jpg,,,Tokyo Skyline,Mika Smith,2019-06-23,A part of the Tokyo skyline seen from the Tokyo Metropolitan Government Building. ,Asia; Tokyo; Japan; Shinjukku City; Skyline; Human Made ,"Shinjukku City, Tokyo, Japan",35.6896,139.6921,,,Image,image/jpeg,eng,,http://rightsstatements.org/vocab/InC-NC/1.0/
